movie_id,star_id,star_role_type,star_role_name
1,1221,Director,
1,609,Director,
1,1005,Director,
1,836,Actor,Character 176
1,1061,Actor,Character 203
1,614,Actor,Character 381
1,1353,Actor,Character 411
1,367,Actor,Character 114
1,540,Actor,Character 395
2,549,Director,
2,434,Actor,Character 315
2,948,Actor,Character 109
2,110,Actor,Character 87
2,79,Actor,Character 416
3,57,Director,
3,1499,Director,
3,1212,Director,
3,675,Actor,Character 147
3,637,Actor,Character 166
3,999,Actor,Character 77
3,397,Actor,Character 99
3,559,Actor,Character 136
3,1373,Actor,Character 326
4,370,Director,
4,739,Director,
4,230,Actor,Character 170
4,1351,Actor,Character 24
4,1225,Actor,Character 286
4,53,Actor,Character 310
4,762,Actor,Character 418
5,1355,Director,
5,43,Director,
5,1071,Director,
5,800,Actor,Character 374
5,74,Actor,Character 133
5,1009,Actor,Character 498
5,799,Actor,Character 313
5,1210,Actor,Character 62
5,731,Actor,Character 130
5,92,Actor,Character 287
5,223,Actor,Character 182
6,1301,Director,
6,903,Actor,Character 342
6,937,Actor,Character 25
6,45,Actor,Character 488
6,655,Actor,Character 111
6,501,Actor,Character 222
6,1084,Actor,Character 158
6,1277,Actor,Character 211
7,447,Director,
7,1059,Actor,Character 3
7,334,Actor,Character 207
7,336,Actor,Character 55
7,755,Actor,Character 15
7,373,Actor,Character 266
7,187,Actor,Character 493
7,508,Actor,Character 363
8,1368,Director,
8,174,Director,
8,558,Director,
8,260,Actor,Character 126
8,1092,Actor,Character 334
8,1064,Actor,Character 417
8,562,Actor,Character 250
8,1334,Actor,Character 400
8,959,Actor,Character 342
8,1343,Actor,Character 353
9,698,Director,
9,959,Director,
9,1378,Actor,Character 356
9,1161,Actor,Character 114
9,720,Actor,Character 49
9,592,Actor,Character 490
9,1265,Actor,Character 209
9,1274,Actor,Character 18
9,31,Actor,Character 84
10,808,Director,
10,813,Director,
10,349,Director,
10,656,Actor,Character 136
10,1425,Actor,Character 61
10,710,Actor,Character 333
10,1167,Actor,Character 143
11,1128,Director,
11,229,Director,
11,412,Actor,Character 14
11,1394,Actor,Character 123
11,1180,Actor,Character 210
11,102,Actor,Character 419
12,1185,Director,
12,4,Director,
12,66,Actor,Character 16
12,520,Actor,Character 196
12,140,Actor,Character 420
12,1421,Actor,Character 173
12,1400,Actor,Character 5
13,1289,Director,
13,884,Director,
13,640,Actor,Character 319
13,103,Actor,Character 308
13,779,Actor,Character 320
13,654,Actor,Character 291
13,399,Actor,Character 275
13,1425,Actor,Character 451
